Designator,Mid X,Mid Y,Rotation,Layer
AD1,52.7304,-61.6712,270.0,top
AD3,25.2984,-61.6712,270.0,top
ATOMS1,75.946,-86.442,270.0,bottom
J1,47.244,-82.423,270.0,top
J2,34.544,-82.423,270.0,top
R1,65.4304,-66.6796,90.0,bottom
R10,70.5104,-66.6773,90.0,bottom
R11,73.0504,-66.6773,90.0,bottom
R12,75.5904,-66.675,90.0,bottom
R13,30.3784,-66.675,90.0,bottom
R14,32.9184,-66.675,90.0,bottom
R15,35.4584,-66.675,90.0,bottom
R16,37.9984,-66.675,90.0,bottom
R2,62.8904,-66.6796,90.0,bottom
R3,60.3504,-66.6796,90.0,bottom
R4,57.8104,-66.6796,90.0,bottom
R5,48.1584,-66.6773,90.0,bottom
R6,45.6184,-66.6773,90.0,bottom
R7,43.0784,-66.6773,90.0,bottom
R8,40.5384,-66.6773,90.0,bottom
R9,67.9704,-66.6773,90.0,bottom
